state,price,name,fuel_type,transmmision,make,model,year,condition,millage,engine_size
Abuja (FCT),5250000,Land Rover Range Rover 2009 Black,Petrol,Automatic,Land Rover,Range Rover,2009,Nigerian Used,139475,4400
Abuja (FCT),6448000,Mercedes-Benz M Class 2009 Black,Petrol,Automatic,Mercedes-Benz,M Class,2009,Nigerian Used,113539,3500
Lagos State,5565000,Lexus ES 2010 Black,Petrol,Automatic,Lexus,ES,2010,Foreign Used,95992,3500
Abuja (FCT),6090000,Toyota Venza 2009 Red,Petrol,Automatic,Toyota,Venza,2009,Nigerian Used,68439,3500
Delta State,4784000,Toyota Camry 2009 Gray,Petrol,Automatic,Toyota,Camry,2009,Foreign Used,317394,2400
Oyo State,5720000,Toyota Camry 2012 Black,Petrol,Automatic,Toyota,Camry,2012,Nigerian Used,181029,2500
Abuja (FCT),2912000,Honda Accord 2009 Green,Petrol,Automatic,Honda,Accord,2009,Nigerian Used,137028,2400
Abuja (FCT),6760000,Mercedes-Benz C350 2012 White,Petrol,Automatic,Mercedes-Benz,C350,2012,Nigerian Used,68424,3500
Rivers State,4515000,Land Rover Range Rover Vogue 2006 Gray,Petrol,Automatic,Land Rover,Range Rover Vogue,2006,Nigerian Used,26979,4200
Akwa Ibom State,3150000,Toyota Highlander V6 AWD 2004 Silver,Petrol,Automatic,Toyota,Highlander,2004,Nigerian Used,214783,3300
Lagos State,35700000,Toyota Highlander XLE AWD 2020 Blue,Petrol,Automatic,Toyota,Highlander,2020,Foreign Used,12382,3500
Abuja (FCT),3640000,Toyota Sienna 2006 White,Petrol,Automatic,Toyota,Sienna,2006,Nigerian Used,240995,3500
Delta State,8400000,Toyota Sienna 2013 Ivory,Petrol,Automatic,Toyota,Sienna,2013,Foreign Used,85799,3500
Lagos State,6300000,Lexus GX 2008 Silver,Hybrid,Automatic,Lexus,GX,2008,Foreign Used,73633,3500
Lagos State,3864000,Ford Edge 2011 Red,Petrol,Automatic,Ford,Edge,2011,Nigerian Used,134427,3500
Ondo State,6240000,Mercedes-Benz M Class 2006 Gold,Petrol,Automatic,Mercedes-Benz,M Class,2006,Foreign Used,206884,3500
Abuja (FCT),1575000,Infiniti FX35 2005 White,Petrol,Automatic,Infiniti,FX35,2005,Nigerian Used,214121,3500
Lagos State,3150000,Acura TL 2011 White,Petrol,Automatic,Acura,TL,2011,Nigerian Used,122457,3500
